statusCode,statusMessage,userId,facilityId,addressName,itemCode
00,NORMAL_CODE,PFS_0000001,PFS_0000001_01,경상남도 사천시,080300
,,PFS_0000002,PFS_0000002_01,전북특별자치도 김제시,080300
,,PFS_0000003,PFS_0000003_01,경상남도 함안군,080300
,,PFS_0000004,PFS_0000004_01,경상남도 진주시,080300
,,PFS_0000005,PFS_0000005_01,경상남도 진주시,132600
,,PFS_0000006,PFS_0000006_01,전북특별자치도 순창군,080300
,,PFS_0000007,PFS_0000007_01,전라남도 화순군,080300
,,PFS_0000008,PFS_0000008_01,전북특별자치도 완주군,080300
,,PFS_0000009,PFS_0000009_01,전북특별자치도 김제시,080300
,,PFS_0000010,PFS_0000010_01,경상남도 거창군,132600
,,PF_0000001,PF_0000001_01,충청남도 부여군,080400
,,PF_0000002,PF_0000002_01,충청남도 부여군,080300
,,PF_0000004,PF_0000004_01,충청남도 부여군,080300
,,PF_0000005,PF_0000005_01,충청남도 부여군,080300
,,PF_0000006,PF_0000006_01,충청남도 부여군,080300
,,PF_0000007,PF_0000007_01,충청남도 부여군,080300
,,PF_0000008,PF_0000008_01,충청남도 부여군,080300
,,PF_0000009,PF_0000009_01,충청남도 부여군,080300
,,PF_0000010,PF_0000010_01,충청남도 부여군,080300
,,PF_0000011,PF_0000011_01,충청남도 논산시,080300
,,PF_0000012,PF_0000012_01,충청남도 논산시,080300
,,PF_0000013,PF_0000013_01,충청남도 논산시,080300
,,PF_0000014,PF_0000014_01,충청남도 논산시,080300
,,PF_0000015,PF_0000015_01,충청남도 논산시,080300
,,PF_0000016,PF_0000016_01,충청남도 논산시,080300
,,PF_0000017,PF_0000017_01,충청남도 논산시,080300
,,PF_0000018,PF_0000018_01,충청남도 논산시,080300
,,PF_0000019,PF_0000019_01,충청남도 부여군,080300
,,PF_0000020,PF_0000020_01,충청남도 부여군,080300
,,PF_0000021,PF_0000021_01,경상남도 진주시,132600
,,PF_0000022,PF_0000022_01,경상남도 진주시,132600
,,PF_0000027,PF_0000027_01,경상남도 함안군,132600
,,PF_0000029,PF_0000029_01,전라남도 화순군,080400
,,PF_0000030,PF_0000030_01,전라남도 장성군,080400
,,PF_0000031,PF_0000031_01,전라남도 강진군,080400
,,PF_0000032,PF_0000032_01,전라남도 담양군,080400
,,PF_0000034,PF_0000034_01,충청남도 부여군,080300
,,PF_0000039,PF_0000039_01,경상남도 창녕군,080300
,,PF_0000040,PF_0000040_01,경상남도 창녕군,080300
,,PF_0000042,PF_0000042_01,경상남도 창녕군,080300
,,PF_0000043,PF_0000043_01,경상남도 창녕군,080300
,,PF_0000047,PF_0000047_01,경상남도 창녕군,080300
,,PF_0000048,PF_0000048_01,경상남도 창녕군,132600
,,PF_0000098,PF_0000098_01,전북특별자치도 남원시,080400
,,PF_0000099,PF_0000099_01,경기도 평택시,080300
,,PF_0000116,PF_0000116_01,경상남도 창녕군,080300
,,PF_0000121,PF_0000121_01,경기도 이천시,26E800
,,PF_0000122,PF_0000122_01,경기도 이천시,26E800
,,PF_0000125,PF_0000125_01,전북특별자치도 정읍시,080300
,,PF_0000129,PF_0000129_01,강원특별자치도 철원군,132600
,,PF_0000131,PF_0000131_01,강원특별자치도 철원군,132600
,,PF_0000139,PF_0000139_01,경기도 이천시,26E800
,,PF_0000145,PF_0000145_01,경상남도 밀양시,132600
,,PF_0000168,PF_0000168_01,강원특별자치도 평창군,132600
,,PF_0000184,PF_0000184_01,경상남도 김해시,132600
,,PF_0000185,PF_0000185_01,경상남도 김해시,080300
,,PF_0000190,PF_0000190_01,경상북도 성주군,080200
,,PF_0000192,PF_0000192_01,전북특별자치도 장수군,080300
,,PF_0000203,PF_0000203_01,전라남도 화순군,080400
,,PF_0000227,PF_0000227_01,전라남도 화순군,080300
,,PF_0000234,PF_0000234_01,경상북도 상주시,060300
,,PF_0000243,PF_0000243_01,전라남도 영광군,080300
,,PF_0000265,PF_0000265_01,전라남도 보성군,080300
,,PF_0000279,PF_0000279_01,충청남도 부여군,080300
,,PF_0000284,PF_0000284_01,충청남도 당진시,080400
,,PF_0000289,PF_0000289_01,전북특별자치도 남원시,132600
,,PF_0000304,PF_0000304_01,경상남도 사천시,080300
,,PF_0000320,PF_0000320_01,경상남도 산청군,080400
,,PF_0000321,PF_0000321_01,경상남도 김해시,132600
,,PF_0000335,PF_0000335_01,강원특별자치도 평창군,132600
,,PF_0000336,PF_0000336_01,강원특별자치도 평창군,132600
,,PF_0000348,PF_0000348_01,경상남도 김해시,132600
,,PF_0000365,PF_0000365_01,전북특별자치도 장수군,080300
,,PF_0000374,PF_0000374_01,전북특별자치도 김제시,080400
,,PF_0000468,PF_0000468_01,경상북도 성주군,080200
,,PF_0000476,PF_0000476_01,경상북도 성주군,080200
,,PF_0000481,PF_0000481_01,경상북도 성주군,080200
,,PF_0000533,PF_0000533_01,경상북도 성주군,080200
,,PF_0000574,PF_0000574_01,전북특별자치도 김제시,080400
,,PF_0000576,PF_0000576_01,전북특별자치도 부안군,080400
,,PF_0000577,PF_0000577_01,경상북도 성주군,080200
,,PF_0000587,PF_0000587_01,전북특별자치도 고창군,132600
,,PF_0000594,PF_0000594_01,전북특별자치도 진안군,080300
,,PF_0000595,PF_0000595_01,전북특별자치도 고창군,132600
,,PF_0000597,PF_0000597_01,전북특별자치도 남원시,132600
,,PF_0000606,PF_0000606_01,세종특별자치시,080400
,,PF_0000608,PF_0000608_01,세종특별자치시,080400
,,PF_0000630,PF_0000630_01,전북특별자치도 고창군,132600
,,PF_0000777,PF_0000777_01,전북특별자치도 김제시,080400
